author,mean,sd,n
Mansfield et al. 2015 ,-0.33,1.65,10
Israel et al. 2012 ,-0.6,4.2,10
Joassin et al. 2010 ,0.45,1.02,13
Saeys et al. 2010 ,0.18,1.55,61
Perennou et al. 2008 ,0.03,0.9,33
Mazibrada et al. 2008 ,-0.4,0.8,20
Aoki et al. 1999,-0.43,1.5,22
Anastasopoulos et al. 1999 ,1.6,1,20
Perennou et al. 1998 ,0.9,0.3,14
Anastasopoulos et al. 1997a,-1.3,1.4,20
Anastasopoulos et al. 1997b,1,1.7,26
Bisdorff et al. 1996 ,-0.4,0.9,8
Bisdorff et al. 1996,0.12,0.95,52
Fukada et al. 2017a,0.1,0.6,13
Fukada et al. 2017b,-0.1,1.1,13
